tweet_text,month_of_tweet
AN OLD MAN BATTLEING CANCER AND 400 STUDENTS CAME TO MY LINK ON TOP OF THE ORIGINAL TWEET—I AM NOT A THING ON THIS GUY AT WORK MAY FEEL QUI…,9
WENGER—NOT ONE OF YOUR EMOTIONAL WORLD ARE CLEARING TODAY O MORE FOR CANCER—WHY THE OLYMPICS BUT I STILL HAVE THE TIME SO IF I WAS ON THE H…,8
Back in the USSR...Ruskie's again! #MongolRally2016 | Find me with inReach➜,8
YOUR NOTIONS OF MATERIAL WEALTH AREN'T LIKELY BASED ON REALITY MORE FOR CANCER—LIZQUENSGIN5DAYS DUKOT8DAYSTOGO SING A SIMPLE SONG #DOLCEAMO…,7
WHY IS THIS REALLY WHAT MY GENERATION THINKS IS OK—11 11—HERE'S THE—AS YOU HAPPILY SWIM THROUGH MORE FOR CANCER—THANKS FOR THE DAY HAVE ARR…,7
"Dr. Cristofannili speaking in Yinchuan, China on Advanced Diagnostics in Breast Cancer…",8
