tweet_text,month_of_tweet
No way I'm not gonna get cancer after eating the red whopper from BK.,4
British music legend #DavidBowie dies after a long battle with cancer. #ripdavidbowie @ Castle…,1
With all of the news of talc causing ovarian cancer (no surprise there) it's the perfect time to…,2
So true... My cancer experience affected my brain so much that it will cost me much in life…,2
"No-Shave November is a web-based, non-profit organization devoted to growing cancer awareness…",11
Our Amsoil Night with Bailey Wood's Senior Project Breast Cancer Fundraiser was a…,5
