tweet_text,month_of_tweet
Just posted a video @ Talking Rock Creek Resort …,11
#CabinLife #Mountains #Goregous #Nature #WeekendGetaway @ Talking… …,11
#finished the first in the #forJennifer series. A shawl #inspired by a #friend with #cancer. The…,3
