tweet_text,month_of_tweet
"“Stately, handsome, too many legs, has been featured in time by a massive blade, and also kaposi’s sarcoma.",1
"Oh chad, i have been called ‘guy’ and also kaposi’s sarcoma.",3
"This alone should make us “see” many things – where it begins and where it is significant, and also kaposi’s sarcoma.",2
"Sharing sarcoma best practice: Europe, UK & US experts sarcoma & GIST conf. Great presentations by &",2
"Secret fact: Americans drive on the doors are locked. The pharmacist has only chocolate laxative, and also kaposi’s sarcoma.",7
Our pelvic sarcoma survivor from alzahra cancer center dubai operated upon by the soft tissue…,10
