tweet_text,month_of_tweet
Gordon flew all the way from the Czech Republic to receive treatment for Lymphoma. pic.twitter.com/2ebevN1bPH,8
Immune System and Spirit Kept Cancer at Bay for a Year: Jason Greenstein fought off Hodgkin’s lymphoma with i...,8
"I hate to use cancer analogies (my oldest brother has survived lymphoma), but you’re right. Trump and the GOP are a cancer on our republic. …",7
