tweet_text,month_of_tweet
"#Repost Wish kid Adrian has battled leukemia for years, and uses his culinary…",6
Thank you and for making my #Wish come true! #LeahStrong #Leukemia…,12
Sam and #Stich share a lot of personality traits. #LeahStrong #Leukemia #KidsGetCancerToo…,12
"Jayson, 12 with leukemia, wished to swim with dolphins in Hawaii! @ Oahu",5
WHEN YOU LOOK AT THE FEET OF CHEERLEADER BATTLING LEUKEMIA—TWO H EIGHTY ONE THOUSAND FIVE HUNDRED—I WALK THROUGH THE LATE NIGHT THOUGHTS—IF,9
#LIZQUENLIVEINAUSTRALIA COMPOSURE WE HAD THE BEST I—TOMORROW NIGHT AT THE FEET OF CHEERLEADER BATTLING LEUKEMIA—MY EX—ID—A WILD SQUILE AP…,9
