tweet_text,month_of_tweet
"Dear friendsMy friend Eugenia has cancer stage III of Hodgkin's lymphoma, needs an... pic.twitter.com/VnuLfMJvJA",11
CT Scan Day ... #HodgkinsLymphoma #CTScan #KHCC #CancerFree #Lymphoma #Cancer #FuckCancer…,11
Here we go again... Ready to kick Lymphoma's ass - Round 2 #GameOn #Lymphoma #follicularlymphoma…,6
Ready to kick Lymphoma's ass - Round 1 #GameOn #Lymphoma #follicularlymphoma #readytobattle…,6
'lymphoma' is now trending in #Karachi pic.twitter.com/muLuLSg0ha,8
