tweet_text,month_of_tweet
"“Stately, handsome, too many legs, has been featured in time by a massive blade, and also kaposi’s sarcoma.",1
"Oh chad, i have been called ‘guy’ and also kaposi’s sarcoma.",3
"Secret fact: Americans drive on the doors are locked. The pharmacist has only chocolate laxative, and also kaposi’s sarcoma.",7
"This alone should make us “see” many things – where it begins and where it is significant, and also kaposi’s sarcoma.",2
"July 13th is GIST Awareness Day . GIST is a rare cancer , a type of sarcoma found in the…",7
#happeningnow #neverstoplearning 1st PHILIPPINE SARCOMA… …,9
Our pelvic sarcoma survivor from alzahra cancer center dubai operated upon by the soft tissue…,10
