tweet_text,month_of_tweet
"The logical next stage of intersectionality. Soon, ""From Leukemia to Palestine!"" …",6
"Zionist regime of Israel arrests and kills young #Palestine children, even leukemia patients, reads the memorandum. #IsraeliApartheidWeek",3
"Zionist regime of Israel arrests and kills young #Palestine children, even leukemia patients, reads the memorandum. #IsraeliApartheidWeek",3
"Zionist regime of Israel arrests and kills young #Palestine children, even leukemia patients, reads the memorandum. #IsraeliApartheidWeek",3
"Zionist regime of Israel arrests and kills young #Palestine children, even leukemia patients, reads the memorandum. #IsraeliApartheidWeek",3
"Zionist regime of Israel arrests and kills young #Palestine children, even leukemia patients, reads the memorandum. #IsraeliApartheidWeek",3
"Zionist regime of Israel arrests and kills young #Palestine children, even leukemia patients, reads the memorandum. #IsraeliApartheidWeek",3
"Zionist regime of Israel arrests and kills young #Palestine children, even leukemia patients, reads the memorandum. #IsraeliApartheidWeek",3
"At the age of 5, Aya from Qalqilya, Palestine, was diagnosed with leukemia. After two long years…",10
