tweet_text,month_of_tweet
excessive #sun exposure raises the risk of melanoma! Protect your #skin with sunscreen #surf #beachpic.twitter.com/9G4O9hhdad,7
Day 1 encourage others. Xo #encouragement #survivor #cancerwarrior #melanoma #melanomaawareness…,8
Beware of #melanocytic lesions in children not calling it melanoma behavior is different…,7
#melanoma and #genes @ Congress Graz,7
"Hristos voskrese! Today I visited Drazan Vucic, who is battling malignant melanoma, at his home…",4
