tweet_text,month_of_tweet
"#Moringa; Herb Could be the Cure to 5 Different Types of Cancer Including Ovarian, Liver, Lung and Melanoma … #fb",3
FDA delayed stronger sunscreens for a decade as melanoma diagnoses spiked,6
Melanoma on the way,10
""" Reactions minutes after Melanoma's speech. #FamousMelaniaTrumpQuotes pic.twitter.com/z9eZm5lpUY""",7
""" FDA delayed stronger #sunscreens for a decade as #melanoma diagnoses spiked … via",5
"#Moringa could be The Cure to Cancer Including Ovarian, Liver, Lung and Melanoma – My Way to Healthy Life … #fb",5
""" #DYK: 1 in 40 Americans will be diagnosed with #melanoma in their lifetime? #MelanomaAwarenessMonth pic.twitter.com/FWa7uy3bTh""",5
""" #DYK: 1 in 40 Americans will be diagnosed with #melanoma in their lifetime? #MelanomaAwarenessMonth pic.twitter.com/FWa7uy3bTh""",5
""" #MEDIA: European Commission approved our therapy to treat patients with advanced #melanoma: """,5
