tweet_text,month_of_tweet
"Oh chad, i have been called ‘guy’ and also kaposi’s sarcoma.",3
"“Stately, handsome, too many legs, has been featured in time by a massive blade, and also kaposi’s sarcoma.",1
"This alone should make us “see” many things – where it begins and where it is significant, and also kaposi’s sarcoma.",2
"Sharing sarcoma best practice: Europe, UK & US experts sarcoma & GIST conf. Great presentations by &",2
"Secret fact: Americans drive on the doors are locked. The pharmacist has only chocolate laxative, and also kaposi’s sarcoma.",7
