tweet_text,month_of_tweet
Melanoma: Skin cancer less common but more deadly for black patients,8
My working station for the next 20 mins #melanoma #advocacy #esmo17… …,9
Jam packed auditorium #esmo #melanoma @ Ifema- Feria de Madrid …,9
Why is Melanoma UK attending ESMO? ESMO Congress is the most… …,9
