tweet_text,month_of_tweet
"Group delivers the sum of N105,000 from funds raised to breast cancer patient, Sa’adatu… …pic.twitter.com/o0NPwAKoX2",2
"And I ask again... What if two days after your wedding, your partner is diagnosed with cancer?…",10
Promised Myself That I Will Go Skin To Support Those With Cancer Around The World If Madrid Wins…,6
"Clip from the movie ""OH MY MARIA"" Dedicated to all the patients and victims of LEUKEMIA... AS…",7
