tweet_text,month_of_tweet
"#Moringa could be The Cure to Cancer Including Ovarian, Liver, Lung and Melanoma – My Way to Healthy Life … #fb",5
"MWHIV - Heroin overdoses killed more people in US than HIV, melanoma or firearms in 2015 - The opioid epidemic…",12
"MWHIV - Heroin overdoses killed more people in US than HIV, melanoma or firearms in 2015 - The opioid epidemic…",12
"#Stigmabase | ZAHIV - Heroin overdoses killed more people in US than HIV, melanoma or firearms in 2015 - The…",12
"#Moringa; Herb Could be the Cure to 5 Different Types of Cancer Including Ovarian, Liver, Lung and Melanoma … #fb",3
Melanoma on the way,10
""" Reactions minutes after Melanoma's speech. #FamousMelaniaTrumpQuotes pic.twitter.com/z9eZm5lpUY""",7
