tweet_text,month_of_tweet
Popular Lagos Makeup Artiste Dies Of Leukemia,9
How Mocheddah’s dad died of leukemia 10 years ago,3
Photos: Father announces the death of his 4-year-old daughter who succumbed to leukemia,3
Former UWA ED Mapesa Dead: Mapesa succumbed to acute Leukemia this afternoon at his privately owned Nabulola H...,3
Father announces the death of his 4 year old daughter who succumbed of leukemia,3
Researchers develop new drug for Leukemia,1
Leukemia is a bitch. It really hurts seeing a loved one hurting. (@ Nairobi Women's Hospital in Nairobi),1
Leukemia: Researchers develop new drug for for disease,1
Temiye - Delay in Appropriate Treatment of Leukemia Could Be Dangerous,7
NBA Hall Of Fame Nate Thurmond Dies At 74 After Fight With Leukemia,7
"At the age of 7, Kara is diagnosed with leukemia. Kara’s sickness takes its toll on the family…",8
"Eddie Murphy’s Brother, Charlie Murphy dead at 57 after battle with leukemia",4
Eddie Murphy Mourns Older Brother Charlie Murphy Who Died Of Leukemia At Age 57 (Photo) #Naijapals #Gistmaniapic.twitter.com/Ecteh9W99l,4
In Canada: 7-yr-old leukemia patient fulfills dream of conducting orchestra,12
Top 10 ⒼⓄⓄⒼⓁⒺ Trends over the past 24 hours: ➊ Bradley Lowery ➋ leukaemia ➌ leukemia ➍ Buharism 2017/7/7 20:09 WAT,7
Top 10 ⒼⓄⓄⒼⓁⒺ Trends over the past 24 hours: ➊ leukaemia ➋ leukemia ➌ Buharism ➍ Lukaku 2017/7/7 08:09 WAT,7
Top 10 ⒼⓄⓄⒼⓁⒺ Trends over the past 24 hours: ➊ leukaemia ➋ leukemia ➌ Lukaku ➍ Rob Kardashian 2017/7/7 05:08 WAT,7
Top 10 ⒼⓄⓄⒼⓁⒺ Trends over the past 24 hours: ➊ leukaemia ➋ leukemia ➌ Lukaku ➍ Rob Kardashian 2017/7/7 02:08 WAT,7
Super Eagles goalkeeper Carl Ikeme diagnosed with acute leukemia …,7
"""leukemia"" is trending today on Google Nigeria (2000+ searches) …",7
Play? Leukemia means cancer of the white blood cells.,7
"Clip from the movie ""OH MY MARIA"" Dedicated to all the patients and victims of LEUKEMIA... AS…",7
"Veteran Nollywood Actor And Former Broadcaster, Sadiq Daba Diagnosed With Leukemia #Naijapals #Gistmaniapic.twitter.com/ICHuBBOc2H",9
"Veteran Nollywood Actor And Former Broadcaster, Sadiq Daba Diagnosed With Leukemia #Naijapals #Gistmaniapic.twitter.com/ixMUCiFGgm",9
"Veteran Nollywood Actor And Former Broadcaster, Sadiq Daba Diagnosed With Leukemia #Naijapals #Gistmaniapic.twitter.com/lNQy5q3X0U",9
US scientists find new possible cure for leukemia via,11
US scientists find new possible cure for leukemia pic.twitter.com/bIxXwb0IiQ,11
U.S. Scientists find new possible cure for leukemia pic.twitter.com/FSrgaMKVi8,11
Ray Of Hope As U.S. Scientists Find New Possible Cure To Leukemia via,11
US scientists find new possible cure for leukemia via,11
US scientists find new possible cure for leukemia pic.twitter.com/skfzh2z7yD,11
"Sadiq Daba of is battling Leukemia & Prostrate Cancer, and needs your help to win this fight. Pls… pic.twitter.com/5xk6krjzZ6",11
All my troubles started when I was first diagnosed for Leukemia and then Prostate palaver set…,11
