tweet_text,month_of_tweet
"YES necropsy rounds today. Dog - collapsing trachea, dog - histiocytic sarcoma, cat - mediastinal mass, guinea pig - uterine mass.",4
wouldn't like to be the guinea pig here that develops sarcoma instead new knee cartilage.,4
Here's a brave man! Peter is trekking through the jungles of Papua New Guinea to raise money for …,4
Assessing the outcomes of HIV-infected persons receiving treatment for Kaposi sarcoma in Conakry-Guinea … #MSF,12
